filename,x,y,top,left,class
REP2E85_20220112_111313_71_flipped.jpg,46,74,142,189,lateral_direita
GVE9G16_20220118_120523_36.jpg,96,118,119,153,lateral_direita
EXW0129_20220115_022257_22.jpg,107,110,91,121,lateral_direita
RNY9D02_20220107_004514_36.jpg,240,230,104,155,lateral_direita
PTX5B12_20220114_202714_45.jpg,107,68,114,154,lateral_direita
RNY6I21_20220114_172730_18.jpg,31,11,114,139,lateral_direita
GBE2926_20220106_010306_15.jpg,114,178,97,136,lateral_direita
EEE2669_20220116_134125_25_flipped.jpg,112,174,104,125,lateral_direita
CMF0560_20220115_011155_34.jpg,56,115,106,142,lateral_direita
OYC4323_20220109_072945_16.jpg,133,111,93,104,lateral_direita
BAJ2536_20220103_112242_50_flipped.jpg,46,125,114,157,lateral_direita
WFQ788_20220107_144209_37_flipped.jpg,88,94,96,116,lateral_direita
FCT8171_20220113_181320_60.jpg,75,61,113,147,lateral_direita
GFU4J43_20220114_130952_19.jpg,114,188,85,109,lateral_direita
FSZ4610_20220104_134549_13_flipped.jpg,87,196,112,145,lateral_direita
RNM0A11_20220106_181204_2.jpg,149,73,112,139,lateral_direita
SZQ752_20220105_022536_13.jpg,12,107,125,152,lateral_direita
QBA1C94_20220105_063704_1.jpg,153,82,88,119,lateral_direita
FBQ2169_20220112_124300_16.jpg,144,222,85,122,lateral_direita
DPJ0H87_20220111_060304_40_flipped.jpg,36,140,133,184,lateral_direita
AUZ4342_20220109_213152_64.jpg,186,48,97,115,lateral_direita
IUU2102_20220114_041929_0.jpg,192,145,94,121,lateral_direita
GYS6827_20220112_145202_17.jpg,170,62,90,122,lateral_direita
RNX3C30_20220103_072354_52.jpg,142,129,108,153,lateral_direita
BSY5200_20220107_073452_10.jpg,59,135,102,134,lateral_direita
FVN1G95_20220108_014147_3.jpg,128,176,96,132,lateral_direita
QVL0E69_20220104_095246_62_flipped.jpg,59,96,87,119,lateral_direita
CMF0560_20220115_011155_3.jpg,78,109,113,152,lateral_direita
DBT7G73_20220117_151419_41.jpg,91,265,106,147,lateral_direita
RME8B13_20220114_161155_21.jpg,164,215,107,130,lateral_direita
GBD5596_20220104_115403_8.jpg,156,88,109,136,lateral_direita
RMX3I55_20220113_124952_36_flipped.jpg,124,170,104,150,lateral_direita
AWP6206_20220110_193115_23.jpg,113,167,114,142,lateral_direita
ELO3F39_20220117_154111_33_flipped.jpg,87,182,93,120,lateral_direita
RSB3I21_20220117_143843_49.jpg,58,121,113,147,lateral_direita
QDR6244_20220117_130512_38.jpg,103,89,96,150,lateral_direita
GHK5A78_20220116_135111_44.jpg,120,33,121,159,lateral_direita
15111111_20220105_043534_3.jpg,126,117,88,127,lateral_direita
