filename,x,y,width,height,class
RFE2B02_20220101_164356_35.jpg,44,127,107,145,lateral_direita
RFE2B02_20220101_164356_34.jpg,46,127,108,145,lateral_direita
RFE2B02_20220101_164356_18.jpg,38,123,107,146,lateral_direita
RFE2B02_20220101_164356_42.jpg,36,133,104,155,lateral_direita
RFE2B02_20220101_164356_2.jpg,135,103,103,132,lateral_direita
RFE2B02_20220101_164356_25.jpg,39,121,106,147,lateral_direita
RFE2B02_20220101_164356_38.jpg,39,128,100,144,lateral_direita
RFE2B02_20220101_164356_57.jpg,41,126,102,147,lateral_direita
RFE2B02_20220101_164356_12.jpg,109,109,125,135,lateral_direita
RFE2B02_20220101_164356_6.jpg,109,111,115,129,lateral_direita
RFE2B02_20220101_164356_45.jpg,25,140,108,145,lateral_direita
RFE2B02_20220101_164356_36.jpg,45,130,105,142,lateral_direita
RFE2B02_20220101_164356_22.jpg,36,123,104,149,lateral_direita
RFE2B02_20220101_164356_47.jpg,21,131,122,149,lateral_direita
RFE2B02_20220101_164356_40.jpg,36,128,103,148,lateral_direita
RFE2B02_20220101_164356_1.jpg,142,107,105,130,lateral_direita
RFE2B02_20220101_164356_0.jpg,162,121,108,128,lateral_direita
RFE2B02_20220101_164356_43.jpg,20,141,116,156,lateral_direita
RFE2B02_20220101_164356_33.jpg,46,126,108,148,lateral_direita
RFE2B02_20220101_164356_46.jpg,25,140,108,142,lateral_direita
RFE2B02_20220101_164356_16.jpg,55,113,100,148,lateral_direita
RFE2B02_20220101_164356_5.jpg,108,110,113,125,lateral_direita
RFE2B02_20220101_164356_7.jpg,120,110,108,138,lateral_direita
RFE2B02_20220101_164356_19.jpg,34,125,106,144,lateral_direita
RFE2B02_20220101_164356_11.jpg,129,111,108,138,lateral_direita
RFE2B02_20220101_164356_29.jpg,62,126,109,142,lateral_direita
RFE2B02_20220101_164356_15.jpg,63,108,98,153,lateral_direita
RFE2B02_20220101_164356_31.jpg,46,126,109,151,lateral_direita
RFE2B02_20220101_164356_9.jpg,181,129,98,134,lateral_direita
RFE2B02_20220101_164356_30.jpg,58,127,107,146,lateral_direita
RFE2B02_20220101_164356_24.jpg,44,121,107,147,lateral_direita
